to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
0x-splits,78231.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""0xSplits"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x9ebC8E61f87A301fF25a606d7C06150f856F24E2"", ""token_amount"": 52154.0, ""token_unit"": ""OP""}"
0xparc,309081.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""0xPARC"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x5401745963974c22F8f8254a2A904Ea5f54ddc22"", ""token_amount"": 206054.0, ""token_unit"": ""OP""}"
across,22558.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""Across Protocol"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x33DB27C21E0f7a2f3351A4C6DDceDFB9F713410b"", ""token_amount"": 15039.0, ""token_unit"": ""OP""}"
akula-bft,59496.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Akula"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x9d6d3b09F8AC8615805bd82e53B80D956F451CFa"", ""token_amount"": 39664.0, ""token_unit"": ""OP""}"
ankr-network,12904.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""Ankr"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x5eEeB9F8a2050533BBEd20F87d445Dcf309a5eA7"", ""token_amount"": 8603.0, ""token_unit"": ""OP""}"
ante-finance,19393.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""Ante"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xa5b4f91FDE4E35Be891eA97C47D1052D8a4D75f7"", ""token_amount"": 12929.0, ""token_unit"": ""OP""}"
atlantis-world-core,35484.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Atlantis World"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x036C545Ae4f68059b4C83f7E3814429d4c73c089"", ""token_amount"": 23656.0, ""token_unit"": ""OP""}"
ato-nft,1609.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""ERC-5560: Redeemable NFTs"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x5874D5D530D1f969FD962579c445A0f3A8682D48"", ""token_amount"": 1073.0, ""token_unit"": ""OP""}"
attestation-station-interface-sbvegan,66513.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Attestation Station Interface"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x5EfF4B8c042AA6003cBDA6E32C4aA23657d3b6AF"", ""token_amount"": 44342.0, ""token_unit"": ""OP""}"
bankless-academy,87100.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""Bankless Academy"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xB30dD1198Feed1e22EC969f61EEd04cB75937adf"", ""token_amount"": 58067.0, ""token_unit"": ""OP""}"
banklessdao,41352.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""BanklessDAO Projects"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x958c20A43F5206F186B0195cCB61Acb724b2EE1E"", ""token_amount"": 27568.0, ""token_unit"": ""OP""}"
beacon-chain,158755.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""beaconcha.in"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xd9ED89A0f4cfbC1be4b7b1aA744b5bd25ACA9979"", ""token_amount"": 105837.0, ""token_unit"": ""OP""}"
besu-hyperledger,72729.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Hyperledger Besu"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xe4Eb51D709D22FE02C42F68A0483fa70A772e984"", ""token_amount"": 48486.0, ""token_unit"": ""OP""}"
blobscan,60018.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Blobscan"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xd7BDE01888B8A2a97924444009E31C8d8c2391F3"", ""token_amount"": 40012.0, ""token_unit"": ""OP""}"
blockscout,97888.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""Blockscout"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x245cE6de47A5D44E5B73f923F1aDA4cc1688D22b"", ""token_amount"": 65259.0, ""token_unit"": ""OP""}"
blst-supranational,60921.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""blst by Supranational"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x0a6CD04Ca9Ce730c709276C6868D9F2C4D9Ef1D6"", ""token_amount"": 40614.0, ""token_unit"": ""OP""}"
boardroom-inc,48720.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Boardroom"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xc1a69F906Ce4366C0C77e0219b3132FeA0969231"", ""token_amount"": 32480.0, ""token_unit"": ""OP""}"
buidlguidl,336261.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""BuidlGuidl"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x34aA3F359A9D614239015126635CE7732c18fDF3"", ""token_amount"": 224174.0, ""token_unit"": ""OP""}"
bwarelabs,3327.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""BwareLabs"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xE0D76bDF0Dcf83685dc41570Dd4536649119D304"", ""token_amount"": 2218.0, ""token_unit"": ""OP""}"
candide-labs,56833.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""CANDIDE Wallet"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xC2842A7653b9c2272F424a18DFf468C32d1f874D"", ""token_amount"": 37889.0, ""token_unit"": ""OP""}"
cannon-rs-badboilabs,8994.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Rust-cannon-template"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xc0017405E287476443Ab1B342B86f2ea92Ef9F73"", ""token_amount"": 5996.0, ""token_unit"": ""OP""}"
cliqueofficial,27052.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""Clique"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x0B27BFb649919bE208F62244E4a09A41b0f962D0"", ""token_amount"": 18035.0, ""token_unit"": ""OP""}"
commons-stack,90057.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Commons Stack"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xC5A756D63C5fe67b438acBE468aA62a52093fDEf"", ""token_amount"": 60038.0, ""token_unit"": ""OP""}"
crate-crypto,18174.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Crate-Crypto"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x90B005a9C7B19E1E962178deA63c1becc409B90f"", ""token_amount"": 12116.0, ""token_unit"": ""OP""}"
crypto-stats,27823.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""CryptoStats"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x69aa21403244889832609963B0028e337a834953"", ""token_amount"": 18549.0, ""token_unit"": ""OP""}"
cryptozombieshq,195867.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""CryptoZombies"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xbb105E3c6D6406A3F0aAB98cD8D0E3a127bD6436"", ""token_amount"": 130578.0, ""token_unit"": ""OP""}"
dapp-learning-dao,32440.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""Dapp-Learning"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x1F7b953113f4dFcBF56a1688529CC812865840e1"", ""token_amount"": 21627.0, ""token_unit"": ""OP""}"
dappnodepackage-optimism,37056.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Optimism DAppNode Package"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x523d007855B3543797E0d3D462CB44B601274819"", ""token_amount"": 24704.0, ""token_unit"": ""OP""}"
defi-llama,256939.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""DefiLlama"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x3754a10c1cA723961068B2653109E6201982Dd9c"", ""token_amount"": 171293.0, ""token_unit"": ""OP""}"
defi-llama,74970.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Chainlist"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x40bbF4468495197b919591Dae8cb5d3fE2F52e7E"", ""token_amount"": 49980.0, ""token_unit"": ""OP""}"
defi-wonderland,20526.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Smock"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x3B1E17b3FC8B2B2c5FBb995Fb3E1dE95a4D7cF7D"", ""token_amount"": 13684.0, ""token_unit"": ""OP""}"
defieye,8520.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Chaineye"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x112E372bb5EC17c1ea6b1d679EA72aFBD2A94404"", ""token_amount"": 5680.0, ""token_unit"": ""OP""}"
delegation-tools,35461.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""delegation.tools"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0xA47669cBc53985333423e4d3D00188f4049fB695"", ""token_amount"": 23641.0, ""token_unit"": ""OP""}"
dethcrypto,67408.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""TypeChain"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x4d2F0Efdb2AD1d709d8522E7b5aa9f5181563617"", ""token_amount"": 44939.0, ""token_unit"": ""OP""}"
dexkit,3654.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""DexKit"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x5265Bde27F57E738bE6c1F6AB3544e82cdc92a8f"", ""token_amount"": 2436.0, ""token_unit"": ""OP""}"
dm3-protocol,15295.5,2023-04-01,optimism,retropgf2,"{""application_name"": ""dm3 protocol"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x1d921dff757610FbDB0073479e12c0a07d382677"", ""token_amount"": 10197.0, ""token_unit"": ""OP""}"
emttr-aspiringsecurity,10794.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""OP Medicine"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x8dc640a257DE18857F8d24e1Ae2645F8bBa1E034"", ""token_amount"": 7196.0, ""token_unit"": ""OP""}"
erigon-ledgerwatch,212475.0,2023-04-01,optimism,retropgf2,"{""application_name"": ""Erigon"", ""application_url"": ""https://app.optimism.io/retropgf-discovery/0x9D20893054afC4A74b856089c44F9A09d1C38Db0"", ""token_amount"": 141650.0, ""token_unit"": ""OP""}"
