to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
gitcoin,124652.92,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Gitcoin"", ""application_url"": ""https://atlas.optimism.io/project/0x6aa80764b6082947c3b2de86fe12804eb475b0afb719de50b9eed60b86f20535"", ""token_amount"": 46862, ""token_unit"": ""OP"", ""project_id"": ""0x6aa80764b6082947c3b2de86fe12804eb475b0afb719de50b9eed60b86f20535""}"
,123418.68,2024-12-06,optimism,retrofunding6,"{""application_name"": ""DeepDAO"", ""application_url"": ""https://atlas.optimism.io/project/0x6dab3b38a62faa0195c0a989aca19c1b11e8ebbc97cf9d7269018850e0606550"", ""token_amount"": 46398, ""token_unit"": ""OP"", ""project_id"": ""0x6dab3b38a62faa0195c0a989aca19c1b11e8ebbc97cf9d7269018850e0606550""}"
evaluating-voting-design-tradeoffs-for-retro-funding-govxs,116965.52,2024-12-06,optimism,retrofunding6,"{""application_name"": ""GovXS"", ""application_url"": ""https://atlas.optimism.io/project/0x684a9b5fbc38b6577950f0c641631e190c6edafc67d00ba6d8334a87ac95b407"", ""token_amount"": 43972, ""token_unit"": ""OP"", ""project_id"": ""0x684a9b5fbc38b6577950f0c641631e190c6edafc67d00ba6d8334a87ac95b407""}"
,116946.9,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Collective Feedback Commission [Token House]"", ""application_url"": ""https://atlas.optimism.io/project/0x097a9bbaf94d8435caf85982276509f2a5944f2bc3fdc558fd37734d4785f790"", ""token_amount"": 43965, ""token_unit"": ""OP"", ""project_id"": ""0x097a9bbaf94d8435caf85982276509f2a5944f2bc3fdc558fd37734d4785f790""}"
,106384.04,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Developer Advisory Board (Season 5)"", ""application_url"": ""https://atlas.optimism.io/project/0xba7c8a2db32c58edd81ac40c8330f8d3492def1bd9adc31d6048ec75e88ad523"", ""token_amount"": 39994, ""token_unit"": ""OP"", ""project_id"": ""0xba7c8a2db32c58edd81ac40c8330f8d3492def1bd9adc31d6048ec75e88ad523""}"
,104447.56,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Anticapture Commission [Season 5]"", ""application_url"": ""https://atlas.optimism.io/project/0x6b990218e8307b1209f4275cb6660d02aad2f9a6d5b67b78935ee430b7fe590b"", ""token_amount"": 39266, ""token_unit"": ""OP"", ""project_id"": ""0x6b990218e8307b1209f4275cb6660d02aad2f9a6d5b67b78935ee430b7fe590b""}"
,103673.5,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Anticapture Commission [Season 6]"", ""application_url"": ""https://atlas.optimism.io/project/0x27582c35a76cc0d2c36c13e8ba1900d67077479e8c78c7e0c19bbd16b0959cc4"", ""token_amount"": 38975, ""token_unit"": ""OP"", ""project_id"": ""0x27582c35a76cc0d2c36c13e8ba1900d67077479e8c78c7e0c19bbd16b0959cc4""}"
metagov,97337.38,2024-12-06,optimism,retrofunding6,"{""application_name"": ""DAOstar"", ""application_url"": ""https://atlas.optimism.io/project/0x81f3e812a5677ddc5fb1a1e0c38ce6eb03f3b0a11a65283f42cdf93ceb5f66f8"", ""token_amount"": 36593, ""token_unit"": ""OP"", ""project_id"": ""0x81f3e812a5677ddc5fb1a1e0c38ce6eb03f3b0a11a65283f42cdf93ceb5f66f8""}"
,94783.78,2024-12-06,optimism,retrofunding6,"{""application_name"": ""SEED Gov "", ""application_url"": ""https://atlas.optimism.io/project/0x78321a16ccf90916db134d71eb0aca96eed5a4845695700a08427ba77bb8fa43"", ""token_amount"": 35633, ""token_unit"": ""OP"", ""project_id"": ""0x78321a16ccf90916db134d71eb0aca96eed5a4845695700a08427ba77bb8fa43""}"
opensource-observer,94648.12,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Onchain Impact Metrics for Retro Funding"", ""application_url"": ""https://atlas.optimism.io/project/0x6ccd260d86dd63ca323df3563561de58e3c6fc04f94b200ae5dbdfc7c625d562"", ""token_amount"": 35582, ""token_unit"": ""OP"", ""project_id"": ""0x6ccd260d86dd63ca323df3563561de58e3c6fc04f94b200ae5dbdfc7c625d562""}"
