to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
aya-labs,99019.515,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""AyaHQ"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xd57877d44413352f5bdc2197304056fd24dcf3eea5b6c86a17177feb838468e0"", ""token_amount"": 28291.29, ""token_unit"": ""OP""}"
bankless-academy,85252.51000000001,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Bankless Academy"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x11d02544f79918bd8af9755f8a14e0188db0aadfaab274c6cf0b97d3da295ec7"", ""token_amount"": 24357.86, ""token_unit"": ""OP""}"
bankless-card,74800.32,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Taxman: The Web3 Income Tax Helper "", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x36095c75011838036c512484b03c67dc9d23dcbaf5f87d413a270d256dd5bb4e"", ""token_amount"": 21371.52, ""token_unit"": ""OP""}"
banklessdao,81075.12,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Bankless DAO"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x023ec749b1a3ad4335595edad791b6dd5523a94817f53cba336060779471c3c8"", ""token_amount"": 23164.32, ""token_unit"": ""OP""}"
basepunkorg,0.0,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Base Punk"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xbe242c7f7734a53649ee419283e72ff164020d8ab6b42656e7393d9db8915094"", ""token_amount"": 0.0, ""token_unit"": ""OP""}"
beacon-chain,782611.865,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""beaconcha.in"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xa0498cfa249bc5a542fa793407d47f31e0d090e1edf767bd1d72f7869bbbe534"", ""token_amount"": 223603.39, ""token_unit"": ""OP""}"
blobscan,347827.48,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Blobscan"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xaa5c01558feace0ee3dde7cca66d30b81b6f097f26405aa0a4e6fdc1885adf5b"", ""token_amount"": 99379.28, ""token_unit"": ""OP""}"
blockchain-cli-0xs34n,85252.51000000001,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""0xs34n"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x96b420d4a9c0cacc124d46cc85e29dcccd8811e3119f01dd336954af17843bb7"", ""token_amount"": 24357.86, ""token_unit"": ""OP""}"
blockhead-darryl-yeo,133781.41,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Blockhead: track/visualize/explore all of crypto/DeFi/web3 in ONE interface!"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x884d2033ce97d63efc7524f104572d0cae1d1ca48491a3774c26ccd922a15f5b"", ""token_amount"": 38223.26, ""token_unit"": ""OP""}"
blocknative,347827.48,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Blocknative | Web3 Onboard"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x0a70938874b0558c1ce25ba50bb3cf18125b55a92b22171205d41a79a2680974"", ""token_amount"": 99379.28, ""token_unit"": ""OP""}"
